"id";"serial_num";"name";"zip_code";"city";"street";"adress";"size";"category";"grade";"age_class";"grade_1";"grade_2";"grade_3";"x_coord";"y_coord";"city_code"
121;"115808";"Vrije Basisschool";9100;"SINT-NIKLAAS";"Nieuwstraat";NA;94;"pre";-1;-1;0;0;0;133585.219473684;206150.585263158;46021
122;"115915 ++ 110064";"Vrije Basisschool - De Meidoorn";9900;"EEKLO";"Zuidmoerstraat";NA;214;"pre";-1;-1;0;0;0;93138.1223809524;209072.882857143;43005
123;"107805";"Gemeentelijke Basisschool - De Loods";9000;"GENT";"Patrijsstraat";NA;46;"pre";-1;-1;0;0;0;104006.249509804;194241.032941176;44021
124;"2857";"Basisschool van het Gemeenschapsonderwijs";9290;"BERLARE";"Galgenbergstraat";NA;102;"pre";-1;-1;0;0;0;122490.481724138;192256.338965517;42003
125;"4051";"Vrije Basisschool";1070;"ANDERLECHT";"Bloeistraat";NA;82;"pre";-1;-1;0;0;0;145277.028607595;169198.623037975;21001
126;"15503";"Vrije Basisschool - KBT-Picpussen";3700;"TONGEREN";"Watertorenstraat";NA;109;"pre";-1;-1;0;0;0;227636.1315;163850.988;73083
127;"24349";"Gemeentelijke Basisschool - De Vierklaver";9890;"BAAIGEM";"Baaigemstraat";NA;46;"pre";-1;-1;0;0;0;101317.628285714;180156.771714286;44020
128;"17401";"Vrije Basisschool";8650;"MERKEM";"Kouterstraat";NA;70;"pre";-1;-1;0;0;0;47833.6015;186037.4785;32006
129;"7633";"Vrije Basisschool";2930;"BRASSCHAAT";"Baillet-Latourlei";NA;158;"pre";-1;-1;0;0;0;158973.292903226;221760.075483871;11008
130;"1198";"Basisschool van het Gemeenschapsonderwijs - Campus Hof Van Riemen";2220;"HEIST-OP-DEN-BERG";"Frans Coeckelbergsstraat";NA;107;"pre";-1;-1;0;0;0;175518.670701754;195150.97122807;12014
131;"5124";"Vrije Basisschool - Sint Alena";1700;"DILBEEK";"Spanjebergstraat";NA;156;"pre";-1;-1;0;0;0;140750.230967742;171349.676935484;23016
132;"53439";"Vrije Basisschool";8640;"WESTVLETEREN";"Donkerstraat";NA;32;"pre";-1;-1;0;0;0;36640.9577777778;179452.621111111;33041
133;"951";"Basisschool van het Gemeenschapsonderwijs - De Schorre";2890;"SINT-AMANDS";"Jan Van Droogenbroeckstraat";NA;37;"pre";-1;-1;0;0;0;140432.668947368;193664.123157895;12034
134;"968";"Basisschool van het Gemeenschapsonderwijs - De Klimroos - De Zonnebloem";9140;"TEMSE";"Clemens De Landtsheerlaan";NA;85;"pre";-1;-1;0;0;0;138670.978717949;202068.811282051;46025
135;"1024";"Basisschool van het Gemeenschapsonderwijs";9150;"KRUIBEKE";"Kattestraat";NA;50;"pre";-1;-1;0;0;0;145125.530526316;204858.399473684;46013
136;"1248";"Basisschool van het Gemeenschapsonderwijs - Regenboog - Krullevaart";3012;"WILSELE";"Aarschotsesteenweg";NA;69;"pre";-1;-1;0;0;0;173955.434285714;174816.886386555;24062
137;"106088";"Basisschool van het Gemeenschapsonderwijs - Veltwijck";2180;"EKEREN";"Veltwijcklaan";NA;92;"pre";-1;-1;0;0;0;152946.885756579;212574.057894737;11002
138;"15685";"Vrije Basisschool";3730;"HOESELT";"Nederstraat";NA;46;"pre";-1;-1;0;0;0;227670.6176;171279.9116;73032
139;"3228";"Basisschool van het Gemeenschapsonderwijs - Mijlpaal";9031;"DRONGEN";"Groenewandeling";NA;85;"pre";-1;-1;0;0;0;104006.249509804;194241.032941176;44021
140;"3293";"Basisschool van het Gemeenschapsonderwijs";9990;"MALDEGEM";"Kleitkalseide";NA;28;"pre";-1;-1;0;0;0;86088.011;211472.8555;43010
141;"17632";"Vrije Basisschool-De Stapsteen";8210;"VELDEGEM";"Kloosterstraat";NA;149;"pre";-1;-1;0;0;0;64392.9507142857;203055.423928571;31040
142;"1826";"Basisschool van het Gemeenschapsonderwijs";3920;"LOMMEL";"Mudakkers";NA;81;"pre";-1;-1;0;0;0;215584.866521739;213228.075217391;72020
143;"4911";"Vrije Basisschool";1650;"BEERSEL";"Hoogstraat";NA;119;"pre";-1;-1;0;0;0;144983.22425;160284.27275;23003
144;"661";"Basisschool van het Gemeenschapsonderwijs - De Wamp";2370;"ARENDONK";"De Maaskens";NA;31;"pre";-1;-1;0;0;0;200412.761333333;223679.316;13001
145;"3012";"Basisschool van het Gemeenschapsonderwijs- De krekel";9450;"HAALTERT";"Kattestraat";NA;41;"pre";-1;-1;0;0;0;123949.601219512;175197.139268293;41024
146;"3038";"Basisschool van het Gemeenschapsonderwijs - Molenveld";9450;"DENDERHOUTEM";"Molenstraat";NA;67;"pre";-1;-1;0;0;0;123949.601219512;175197.139268293;41024
147;"11353";"Vrije Basisschool";9120;"BEVEREN-WAAS";"Kasteeldreef";NA;140;"pre";-1;-1;0;0;0;140787.056969697;214057.856515152;46003
148;"12121";"Vrije Basisschool - Sint-Lambertus";2812;"MUIZEN";"Leuvensesteenweg";NA;135;"pre";-1;-1;0;0;0;157200.4477;190810.4149;12025
149;"17251";"Vrije Basisschool Sint-Henricus";8820;"TORHOUT";"Sint-Henricusstraat";NA;45;"pre";-1;-1;0;0;0;60862.5853125;196301.6971875;31033
150;"13243";"Vrije Basisschool";3473;"WAANRODE";"Oude Diestsestraat";NA;77;"pre";-1;-1;0;0;0;195970.3165;175235.1665;24054
151;"9696";"Vrije Basisschool - Kinderpad";2560;"BEVEL";"Kinderpad";NA;85;"pre";-1;-1;0;0;0;170057.264761905;204687.611428571;12026
152;"15461";"Vrije Basisschool - Spelenderwijs";3670;"MEEUWEN-GRUITRODE";"Loostraat";NA;36;"pre";-1;-1;0;0;0;232826.943235294;198796.864411765;72040
153;"16279";"Vrije Basisschool";3870;"HEERS";"Ridderstraat";NA;77;"pre";-1;-1;0;0;0;216014.307407407;160719.472222222;73022
154;"17574";"Vrije Basisschool - Sint-Lodewijkscollege Afd. Immaculata";8200;"SINT-MICHIELS";"Koningin Astridlaan";NA;154;"pre";-1;-1;0;0;0;69817.3656589147;213393.638217054;31005
155;"12179";"Vrije Basisschool - Haacht Station";3150;"WESPELAAR";"Neysetterstraat";NA;93;"pre";-1;-1;0;0;0;169328.675416667;183431.112916667;24033
156;"3137";"Basisschool van het Gemeenschapsonderwijs - De Rijdtmeersen";9660;"BRAKEL";"Kasteelstraat";NA;102;"pre";-1;-1;0;0;0;107019.592285714;166487.512285714;45059
157;"45898";"Vrije Basisschool - De Zonnetuin";8310;"SINT-KRUIS";"Beeweg";NA;155;"pre";-1;-1;0;0;0;69817.3656589147;213393.638217054;31005
158;"46193";"Vrije Basisschool";9400;"OKEGEM";"Okegem-Dorp";NA;57;"pre";-1;-1;0;0;0;124595.141590909;168779.511477273;41048
159;"20388";"Vrije Basisschool-Lyceum-Heilige Familie";8900;"IEPER";"Maloulaan";NA;68;"pre";-1;-1;0;0;0;44946.1788709677;172829.491451613;33011
160;"12195";"Vrije Basisschool";3000;"LEUVEN";"Janseniusstraat";NA;180;"pre";-1;-1;0;0;0;173955.434285714;174816.886386555;24062
161;"127051";"Vrije Basisschool - Sint-Annaschool";3080;"TERVUREN";"Rootstraat";NA;82;"pre";-1;-1;0;0;0;161818.473888889;168536.100555556;24104
162;"15958";"Provinciale Basisschool";3790;"MOELINGEN";"Kerksteeg";NA;48;"pre";-1;-1;0;0;0;251986.417058824;160699.777058824;73109
163;"208";"Basisschool van het Gemeenschapsonderwijs";1500;"HALLE";"Pastoor Bernaertsstraat";NA;276;"pre";-1;-1;0;0;0;140787.522926829;157800.326585366;23027
