Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      2.81     0.00    39952     0.00     0.00  boost::property_tree::basic_ptree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::get_child(boost::property_tree::string_path<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, boost::property_tree::id_translator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&)
  0.00      2.81     0.00    39952     0.00     0.00  __tcf_0
  0.00      2.81     0.00    39411     0.00     0.00  boost::enable_if<boost::property_tree::detail::is_translator<boost::property_tree::stream_translator<char, std::char_traits<char>, std::allocator<char>, double> >, double>::type boost::property_tree::basic_ptree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::get_value<double, boost::property_tree::stream_translator<char, std::char_traits<char>, std::allocator<char>, double> >(boost::property_tree::stream_translator<char, std::char_traits<char>, std::allocator<char>, double>) const
  0.00      2.81     0.00    31906     0.00     0.00  spdlog::logger::_sink_it(spdlog::details::log_msg&)
  0.00      2.81     0.00    31906     0.00     0.00  spdlog::details::file_helper::write(spdlog::details::log_msg const&)
  0.00      2.81     0.00    31843     0.00     0.00  spdlog::sinks::rotating_file_sink<std::mutex>::_sink_it(spdlog::details::log_msg const&)
  0.00      2.81     0.00    31843     0.00     0.00  spdlog::sinks::base_sink<std::mutex>::log(spdlog::details::log_msg const&)
  0.00      2.81     0.00    31843     0.00     0.00  spdlog::details::v_formatter::format(spdlog::details::log_msg&, tm const&)
  0.00      2.81     0.00    31833     0.00     0.00  stride::Health::StartInfection()
  0.00      2.81     0.00    30691     0.00     0.00  void fmt::BasicWriter<char>::write_str<char, fmt::FormatSpec>(fmt::internal::Value::StringValue<char> const&, fmt::FormatSpec const&)
  0.00      2.81     0.00    30639     0.00     0.00  stride::ContactType::ToString[abi:cxx11](stride::ContactType::Id)
  0.00      2.81     0.00    30633     0.00     0.00  (anonymous namespace)::LOG_POLICY<(stride::ContactLogMode::Id)1>::Trans(std::shared_ptr<spdlog::logger> const&, stride::Person const*, stride::Person const*, stride::ContactType::Id, unsigned short)
  0.00      2.81     0.00     4800     0.00     0.00  void fmt::BasicWriter<char>::write_int<int, fmt::FormatSpec>(int, fmt::FormatSpec)
  0.00      2.81     0.00     3630     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_mutate(unsigned long, unsigned long, char const*, unsigned long)
  0.00      2.81     0.00     3143     0.00     0.00  std::istreambuf_iterator<char, std::char_traits<char> >::_M_get() const
  0.00      2.81     0.00     1229     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::compare(char const*) const
  0.00      2.81     0.00      788     0.00     0.00  google::protobuf::internal::ArenaStringPtr::DestroyNoArena(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*) [clone .constprop.362]
  0.00      2.81     0.00      567     0.00     0.00  fmt::BasicWriter<char>::operator<<(char)
  0.00      2.81     0.00      504     0.00     0.00  google::protobuf::io::CodedInputStream::ReadVarint32(unsigned int*)
  0.00      2.81     0.00      451     0.00     0.00  boost::property_tree::json_parser::detail::source<boost::property_tree::json_parser::detail::encoding<char>, std::istreambuf_iterator<char, std::char_traits<char> >, std::istreambuf_iterator<char, std::char_traits<char> > >::next()
  0.00      2.81     0.00      378     0.00     0.00  void fmt::BasicWriter<char>::write_int<unsigned int, fmt::IntFormatSpec<unsigned int, fmt::AlignTypeSpec<(char)0>, char> >(unsigned int, fmt::IntFormatSpec<unsigned int, fmt::AlignTypeSpec<(char)0>, char>)
  0.00      2.81     0.00      309     0.00     0.00  google::protobuf::(anonymous namespace)::SourceLocationCommentPrinter::~SourceLocationCommentPrinter()
  0.00      2.81     0.00      309     0.00     0.00  google::protobuf::internal::ArenaStringPtr::CreateInstance(google::protobuf::Arena*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*)
  0.00      2.81     0.00      309     0.00     0.00  google::protobuf::internal::WireFormatLite::ReadBytes(google::protobuf::io::CodedInputStream*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      2.81     0.00      309     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_replace_aux(unsigned long, unsigned long, unsigned long, char)
  0.00      2.81     0.00      281     0.00     0.00  bool boost::property_tree::json_parser::detail::source<boost::property_tree::json_parser::detail::encoding<char>, std::istreambuf_iterator<char, std::char_traits<char> >, std::istreambuf_iterator<char, std::char_traits<char> > >::have<boost::property_tree::json_parser::detail::source<boost::property_tree::json_parser::detail::encoding<char>, std::istreambuf_iterator<char, std::char_traits<char> >, std::istreambuf_iterator<char, std::char_traits<char> > >::DoNothing>(bool (boost::property_tree::json_parser::detail::encoding<char>::*)(char) const, boost::property_tree::json_parser::detail::source<boost::property_tree::json_parser::detail::encoding<char>, std::istreambuf_iterator<char, std::char_traits<char> >, std::istreambuf_iterator<char, std::char_traits<char> > >::DoNothing&) [clone .constprop.258]
  0.00      2.81     0.00      264     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::push_back(char)
  0.00      2.81     0.00      247     0.00     0.00  google::protobuf::io::CodedInputStream::ReadTagFallback(unsigned int)
  0.00      2.81     0.00      247     0.00     0.00  google::protobuf::internal::InternalMetadataWithArenaBase<google::protobuf::UnknownFieldSet, google::protobuf::internal::InternalMetadataWithArena>::~InternalMetadataWithArenaBase()
  0.00      2.81     0.00      245     0.00     0.00  google::protobuf::io::CodedInputStream::DecrementRecursionDepthAndPopLimit(int)
  0.00      2.81     0.00      245     0.00     0.00  google::protobuf::io::CodedInputStream::IncrementRecursionDepthAndPushLimit(int)
  0.00      2.81     0.00      186     0.00     0.00  boost::date_time::gregorian_calendar_base<boost::date_time::year_month_day_base<boost::gregorian::greg_year, boost::gregorian::greg_month, boost::gregorian::greg_day>, unsigned int>::from_day_number(unsigned int)
  0.00      2.81     0.00      186     0.00     0.00  stride::Calendar::GetDayOfTheWeek() const
  0.00      2.81     0.00      153     0.00     0.00  stride::Calendar::GetSimulationDay() const
  0.00      2.81     0.00      150     0.00     0.00  void std::vector<unsigned int, std::allocator<unsigned int> >::_M_realloc_insert<unsigned int>(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int&&)
  0.00      2.81     0.00      145     0.00     0.00  google::protobuf::FieldDescriptorProto::SharedDtor()
  0.00      2.81     0.00      145     0.00     0.00  google::protobuf::FieldDescriptorProto::MergePartialFromCodedStream(google::protobuf::io::CodedInputStream*)
  0.00      2.81     0.00      145     0.00     0.00  google::protobuf::FieldDescriptorProto::FieldDescriptorProto()
  0.00      2.81     0.00      145     0.00     0.00  google::protobuf::FieldDescriptorProto* google::protobuf::Arena::CreateMaybeMessage<google::protobuf::FieldDescriptorProto>(google::protobuf::Arena*)
  0.00      2.81     0.00      145     0.00     0.00  bool google::protobuf::internal::WireFormatLite::ReadMessage<google::protobuf::FieldDescriptorProto>(google::protobuf::io::CodedInputStream*, google::protobuf::FieldDescriptorProto*)
