Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00    210.30     0.00      263     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::push_back(char)
  0.00    210.30     0.00      247     0.00     0.00  google::protobuf::io::CodedInputStream::ReadTagFallback(unsigned int)
  0.00    210.30     0.00      247     0.00     0.00  google::protobuf::internal::InternalMetadataWithArenaBase<google::protobuf::UnknownFieldSet, google::protobuf::internal::InternalMetadataWithArena>::~InternalMetadataWithArenaBase()
  0.00    210.30     0.00      245     0.00     0.00  google::protobuf::io::CodedInputStream::DecrementRecursionDepthAndPopLimit(int)
  0.00    210.30     0.00      245     0.00     0.00  google::protobuf::io::CodedInputStream::IncrementRecursionDepthAndPushLimit(int)
  0.00    210.30     0.00      186     0.00     0.00  boost::date_time::gregorian_calendar_base<boost::date_time::year_month_day_base<boost::gregorian::greg_year, boost::gregorian::greg_month, boost::gregorian::greg_day>, unsigned int>::from_day_number(unsigned int)
  0.00    210.30     0.00      186     0.00     0.00  stride::Calendar::GetDayOfTheWeek() const
  0.00    210.30     0.00      153     0.00     0.00  stride::Calendar::GetSimulationDay() const
  0.00    210.30     0.00      150     0.00     0.00  void std::vector<unsigned int, std::allocator<unsigned int> >::_M_realloc_insert<unsigned int>(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int&&)
  0.00    210.30     0.00      145     0.00     0.00  google::protobuf::FieldDescriptorProto::SharedDtor()
  0.00    210.30     0.00      145     0.00     0.00  google::protobuf::FieldDescriptorProto::MergePartialFromCodedStream(google::protobuf::io::CodedInputStream*)
  0.00    210.30     0.00      145     0.00     0.00  google::protobuf::FieldDescriptorProto::FieldDescriptorProto()
  0.00    210.30     0.00      145     0.00     0.00  google::protobuf::FieldDescriptorProto* google::protobuf::Arena::CreateMaybeMessage<google::protobuf::FieldDescriptorProto>(google::protobuf::Arena*)
  0.00    210.30     0.00      145     0.00     0.00  bool google::protobuf::internal::WireFormatLite::ReadMessage<google::protobuf::FieldDescriptorProto>(google::protobuf::io::CodedInputStream*, google::protobuf::FieldDescriptorProto*)
  0.00    210.30     0.00      145     0.00     0.00  google::protobuf::RepeatedPtrField<google::protobuf::FieldDescriptorProto>::TypeHandler::Type* google::protobuf::internal::RepeatedPtrFieldBase::Add<google::protobuf::RepeatedPtrField<google::protobuf::FieldDescriptorProto>::TypeHandler>(google::protobuf::RepeatedPtrField<google::protobuf::FieldDescriptorProto>::TypeHandler::Type*)
  0.00    210.30     0.00      141     0.00     0.00  boost::property_tree::json_parser::detail::external_ascii_superset_encoding::is_ws(char) const
  0.00    210.30     0.00      134     0.00     0.00  std::__detail::_State<char>::~_State()
